index,RPT,総合ランク,Web_複勝期待値_レンジ,試行回数,複勝的中数,複勝投資額,複勝払戻額,複勝的中率(%),複勝回収率(%),単勝的中数,単勝投資額,単勝払戻額,単勝的中率(%),単勝回収率(%)
0,1,SSS,"[0.75, 0.8)",2,1,200,110,50,55,1,200,150,50,75
1,1,SS,"[0.8, 0.85)",7,6,700,670,85.71428571,95.71428571,4,700,720,57.14285714,102.8571429
2,1,SS,"[0.9, 0.95)",2,2,200,260,100,130,1,200,290,50,145
3,1,SS,"[1.05, 1.1)",1,0,100,0,0,0,0,100,0,0,0
4,1,S,"[0.5, 0.75)",5,2,500,250,40,50,2,500,550,40,110
5,1,S,"[0.75, 0.8)",7,5,700,680,71.42857143,97.14285714,3,700,690,42.85714286,98.57142857
6,1,S,"[0.8, 0.85)",11,9,1100,1020,81.81818182,92.72727273,3,1100,540,27.27272727,49.09090909
7,1,S,"[0.85, 0.9)",17,9,1700,1320,52.94117647,77.64705882,4,1700,1240,23.52941176,72.94117647
8,1,S,"[0.9, 0.95)",6,3,600,490,50,81.66666667,1,600,190,16.66666667,31.66666667
9,1,S,"[0.95, 1.0)",2,2,200,290,100,145,0,200,0,0,0
10,1,AA,"[0.5, 0.75)",1,1,100,140,100,140,1,100,300,100,300
11,1,AA,"[0.75, 0.8)",1,0,100,0,0,0,0,100,0,0,0
12,1,AA,"[0.8, 0.85)",2,0,200,0,0,0,0,200,0,0,0
13,1,AA,"[0.85, 0.9)",7,5,700,680,71.42857143,97.14285714,1,700,300,14.28571429,42.85714286
14,1,AA,"[0.9, 0.95)",1,0,100,0,0,0,0,100,0,0,0
15,1,AA,"[0.95, 1.0)",3,2,300,350,66.66666667,116.6666667,1,300,460,33.33333333,153.3333333
16,1,AA,"[2.0, 100.0)",2,1,200,170,50,85,1,200,430,50,215
17,1,A,"[0.25, 0.5)",2,0,200,0,0,0,0,200,0,0,0
18,1,A,"[0.5, 0.75)",24,7,2400,1270,29.16666667,52.91666667,3,2400,1920,12.5,80
19,1,A,"[0.75, 0.8)",13,5,1300,700,38.46153846,53.84615385,2,1300,700,15.38461538,53.84615385
20,1,A,"[0.8, 0.85)",21,10,2100,1660,47.61904762,79.04761905,2,2100,580,9.523809524,27.61904762
21,1,A,"[0.85, 0.9)",21,11,2100,1740,52.38095238,82.85714286,6,2100,2030,28.57142857,96.66666667
22,1,A,"[0.9, 0.95)",7,3,700,490,42.85714286,70,1,700,180,14.28571429,25.71428571
23,1,A,"[0.95, 1.0)",4,1,400,310,25,77.5,1,400,1440,25,360
24,1,A,"[1.0, 1.05)",3,0,300,0,0,0,0,300,0,0,0
25,1,A,"[1.1, 1.15)",2,0,200,0,0,0,0,200,0,0,0
26,1,A,"[1.2, 1.4)",1,0,100,0,0,0,0,100,0,0,0
27,1,A,"[1.4, 1.6)",1,1,100,320,100,320,1,100,780,100,780
28,1,A,"[1.6, 1.8)",1,0,100,0,0,0,0,100,0,0,0
29,1,A,"[2.0, 100.0)",2,0,200,0,0,0,0,200,0,0,0
