競馬場,RPT,分類ラベル,ゾーンラベル,出走数,勝ち数,連対数,複勝数,勝率,連対率,複勝率
船橋,1,C人気,C1（本命）,21.0,3.0,4,6,14.3,19.0,28.6
船橋,1,C人気,C2-4（中位人気）,61.0,7.0,16,24,11.5,26.2,39.3
船橋,1,C人気,C5+（穴人気）,161.0,10.0,21,32,6.2,13.0,19.9
船橋,2,C人気,C1（本命）,47.0,9.0,15,21,19.1,31.9,44.7
船橋,2,C人気,C2-4（中位人気）,140.0,25.0,38,59,17.9,27.1,42.1
船橋,2,C人気,C5+（穴人気）,335.0,13.0,42,61,3.9,12.5,18.2
船橋,3,C人気,C1（本命）,30.0,15.0,19,22,50.0,63.3,73.3
船橋,3,C人気,C2-4（中位人気）,90.0,12.0,24,34,13.3,26.7,37.8
船橋,3,C人気,C5+（穴人気）,221.0,4.0,18,35,1.8,8.1,15.8
船橋,4,C人気,C1（本命）,42.0,10.0,17,23,23.8,40.5,54.8
船橋,4,C人気,C2-4（中位人気）,124.0,20.0,35,47,16.1,28.2,37.9
船橋,4,C人気,C5+（穴人気）,272.0,12.0,32,56,4.4,11.8,20.6
船橋,5,C人気,C1（本命）,46.0,10.0,19,20,21.7,41.3,43.5
船橋,5,C人気,C2-4（中位人気）,137.0,29.0,43,67,21.2,31.4,48.9
船橋,5,C人気,C5+（穴人気）,330.0,8.0,30,52,2.4,9.1,15.8
船橋,6,C人気,C1（本命）,69.0,22.0,37,41,31.9,53.6,59.4
船橋,6,C人気,C2-4（中位人気）,212.0,29.0,59,87,13.7,27.8,41.0
船橋,6,C人気,C5+（穴人気）,525.0,20.0,47,85,3.8,9.0,16.2
船橋,7,C人気,C1（本命）,50.0,19.0,32,35,38.0,64.0,70.0
船橋,7,C人気,C2-4（中位人気）,151.0,27.0,47,72,17.9,31.1,47.7
船橋,7,C人気,C5+（穴人気）,342.0,6.0,26,48,1.8,7.6,14.0
船橋,8,C人気,C1（本命）,79.0,26.0,44,51,32.9,55.7,64.6
船橋,8,C人気,C2-4（中位人気）,235.0,36.0,75,114,15.3,31.9,48.5
船橋,8,C人気,C5+（穴人気）,534.0,17.0,38,70,3.2,7.1,13.1
船橋,9,C人気,C1（本命）,60.0,23.0,38,48,38.3,63.3,80.0
船橋,9,C人気,C2-4（中位人気）,185.0,29.0,54,78,15.7,29.2,42.2
船橋,9,C人気,C5+（穴人気）,416.0,10.0,31,58,2.4,7.5,13.9
船橋,10,C人気,C1（本命）,64.0,21.0,35,45,32.8,54.7,70.3
船橋,10,C人気,C2-4（中位人気）,190.0,27.0,52,88,14.2,27.4,46.3
船橋,10,C人気,C5+（穴人気）,434.0,16.0,42,61,3.7,9.7,14.1
船橋,11,C人気,C1（本命）,36.0,23.0,31,34,63.9,86.1,94.4
船橋,11,C人気,C2-4（中位人気）,107.0,11.0,31,52,10.3,29.0,48.6
船橋,11,C人気,C5+（穴人気）,214.0,2.0,10,22,0.9,4.7,10.3
船橋,12,C人気,C1（本命）,50.0,25.0,39,44,50.0,78.0,88.0
船橋,12,C人気,C2-4（中位人気）,146.0,19.0,45,71,13.0,30.8,48.6
船橋,12,C人気,C5+（穴人気）,328.0,6.0,17,36,1.8,5.2,11.0
船橋,13,C人気,C1（本命）,46.0,16.0,29,36,34.8,63.0,78.3
船橋,13,C人気,C2-4（中位人気）,134.0,24.0,50,75,17.9,37.3,56.0
