競馬場,データ種別,総合ランク,単勝オッズ帯,出走数,勝率,連対率,複勝率
浦和,総合ランクオッズ別,SSS,1.0～1.4,50.0,74.0,84.0,90.0
浦和,総合ランクオッズ別,SSS,1.5～1.9,49.0,40.8,55.1,69.4
浦和,総合ランクオッズ別,SSS,2.0～2.9,36.0,33.3,58.3,77.8
浦和,総合ランクオッズ別,SSS,3.0～3.9,13.0,23.1,38.5,53.8
浦和,総合ランクオッズ別,SSS,4.0～4.9,1.0,0.0,0.0,0.0
浦和,総合ランクオッズ別,SSS,5.0～6.9,4.0,0.0,0.0,50.0
浦和,総合ランクオッズ別,SSS,7.0～9.9,0.0,0.0,0.0,0.0
浦和,総合ランクオッズ別,SSS,10.0～14.9,0.0,0.0,0.0,0.0
浦和,総合ランクオッズ別,SSS,15.0～19.9,0.0,0.0,0.0,0.0
浦和,総合ランクオッズ別,SSS,20.0～29.9,0.0,0.0,0.0,0.0
浦和,総合ランクオッズ別,SSS,30.0～49.9,0.0,0.0,0.0,0.0
浦和,総合ランクオッズ別,SSS,50.0～99.9,0.0,0.0,0.0,0.0
浦和,総合ランクオッズ別,SSS,100.0～1000.0,0.0,0.0,0.0,0.0
浦和,総合ランクオッズ別,SS,1.0～1.4,101.0,75.2,86.1,90.1
浦和,総合ランクオッズ別,SS,1.5～1.9,150.0,48.0,68.7,76.7
浦和,総合ランクオッズ別,SS,2.0～2.9,122.0,39.3,59.0,77.0
浦和,総合ランクオッズ別,SS,3.0～3.9,48.0,27.1,45.8,60.4
浦和,総合ランクオッズ別,SS,4.0～4.9,17.0,23.5,41.2,64.7
浦和,総合ランクオッズ別,SS,5.0～6.9,14.0,28.6,42.9,64.3
浦和,総合ランクオッズ別,SS,7.0～9.9,2.0,0.0,0.0,50.0
浦和,総合ランクオッズ別,SS,10.0～14.9,0.0,0.0,0.0,0.0
浦和,総合ランクオッズ別,SS,15.0～19.9,0.0,0.0,0.0,0.0
浦和,総合ランクオッズ別,SS,20.0～29.9,0.0,0.0,0.0,0.0
浦和,総合ランクオッズ別,SS,30.0～49.9,0.0,0.0,0.0,0.0
浦和,総合ランクオッズ別,SS,50.0～99.9,0.0,0.0,0.0,0.0
